topicId,date,frequency
Amoxicillin,-12,4
Amputation,-2,1
Amputation,-3,1
Amputation,-10,1
Amputation,-12,1
Amyotrophic Lateral Sclerosis,-12,2
Anal Abscess,-6,1
Anal Cancer,-7,1
Anal Fissure,-2,1
Anal Fissure,-3,1
Anal Fissure,-6,1
Anal Fissure,-8,1
Anal Fissure,-9,1
Anal Fissure,-10,1
Anal Fissure,-12,1
Anal Wart,-1,1
Anal Wart,-12,1
Anaphylactic Shock,-10,1
Anaphylaxis,-10,1
Anaphylaxis,-12,1
Anastomosis,-8,1
Anatomy,-1,1
Anemia,-2,3
Anemia,-3,3
Anemia,-4,2
Anemia,-5,2
Anemia,-6,2
Anemia,-7,1
Anemia,-8,3
Anemia,-9,1
Anemia,-10,2
Anemia,-11,7
Anemia,-12,3
Anesthesia,-1,1
Anesthesia,-3,1
Anesthesia,-5,1
Anesthesia,-6,1
Anesthesia,-8,1
Anesthesia,-9,1
Anesthesia,-10,3
Anesthesia,-11,2
Anesthesia,-12,1
Aneurysm,-4,1
Aneurysm,-5,1
Aneurysm,-7,2
Aneurysm,-10,1
Aneurysm,-11,1
Anger,-1,1
Anger,-2,4
Anger,-3,3
Anger,-4,5
Anger,-5,5
Anger,-6,3
Anger,-7,4
Anger,-8,3
Anger,-9,2
Anger,-10,7
Anger,-11,4
Anger,-12,3
Anger Management,-7,1
Angina,-6,2
Angina,-10,2
Angiogram,-11,1
Angioplasty,-3,1
Angioplasty,-6,1
Angioplasty,-8,1
Angioplasty,-9,1
Angioplasty,-10,1
Angioplasty,-11,1
Ankle,-1,4
Ankle,-2,11
Ankle,-3,11
Ankle,-4,9
Ankle,-5,6
Ankle,-6,16
Ankle,-7,16
Ankle,-8,12
Ankle,-9,5
Ankle,-10,23
Ankle,-11,13
Ankle,-12,11
Ankle Pain,-3,1
Ankle Pain,-7,1
Ankle Pain,-12,1
Anorexia,-2,1
Anorexia,-6,1
Anorexia,-8,3
Anorexia,-10,1
Anterior Cruciate Ligament Injury,-3,1
Anterior Cruciate Ligament Injury,-7,1
Anti-Aging,-1,1
Anti-Aging,-6,1
Anti-Inflammatory,-4,1
Anti-Inflammatory,-6,1
Anti-Inflammatory,-7,1
Anti-Inflammatory,-9,1
Anti-Inflammatory,-10,1
Anti-Inflammatory,-11,1
Antibiotic,-1,35
Antibiotic,-2,31
Antibiotic,-3,37
Antibiotic,-4,26
Antibiotic,-5,26
Antibiotic,-6,17
Antibiotic,-7,20
Antibiotic,-8,27
Antibiotic,-9,28
Antibiotic,-10,39
Antibiotic,-11,58
Antibiotic,-12,31
Antibiotic Use,-7,1
Antibiotic Use,-8,1
Antidepressant,-1,1
Antidepressant,-2,3
Antidepressant,-3,4
Antidepressant,-5,1
Antidepressant,-6,1
Antidepressant,-7,3
Antidepressant,-8,3
Antidepressant,-9,3
Antidepressant,-10,4
Antidepressant,-11,5
Antidepressant,-12,7
Anus,-1,9
Anus,-2,11
Anus,-3,5
Anus,-4,8
Anus,-5,7
Anus,-6,13
Anus,-7,20
Anus,-8,7
Anus,-9,6
Anus,-10,19
Anus,-11,15
Anus,-12,22
Anxiety,-1,16
Anxiety,-2,15
Anxiety,-3,13
Anxiety,-4,11
Anxiety,-5,12
Anxiety,-6,16
Anxiety,-7,14
Anxiety,-8,13
Anxiety,-9,10
Anxiety,-10,21
Anxiety,-11,31
Anxiety,-12,14
Aorta,-3,1
Aorta,-4,1
Aorta,-5,1
Aorta,-7,2
Aorta,-8,1
Aorta,-11,1
Aortic Aneurysm,-6,1
Aortic Dissection,-2,1
Aortic Stenosis,-3,1
Aortic Stenosis,-4,1
Apathy,-12,1
Apnea,-2,2
Apnea,-6,1
Appendectomy,-1,1
Appendectomy,-8,1
Appendectomy,-10,1
Appendicitis,-1,3
Appendicitis,-7,1
Appendicitis,-8,2
Appendicitis,-10,1
Appendicitis,-11,1
Appendix,-1,3
Appendix,-2,1
Appendix,-3,1
Appendix,-4,6
Appendix,-5,1
Appendix,-6,3
Appendix,-7,1
Appendix,-8,1
Appendix,-9,1
Appendix,-10,8
Appendix,-11,4
Appendix,-12,1
Arm,-1,27
Arm,-2,25
Arm,-3,33
Arm,-4,27
Arm,-5,13
Arm,-6,23
Arm,-7,34
Arm,-8,15
Arm,-9,23
Arm,-10,66
Arm,-11,45
Arm,-12,45
Armpit,-1,4
Armpit,-2,4
Armpit,-3,1
Armpit,-4,4
Armpit,-5,1
Armpit,-6,2
Armpit,-7,4
Armpit,-8,2
Armpit,-9,5
Armpit,-10,8
Armpit,-11,10
Armpit,-12,5
Arrhythmia,-5,1
Arrhythmia,-7,8
Arrhythmia,-8,1
Arrhythmia,-9,1
Arrhythmias,-10,1
Artery,-1,1
Artery,-2,1
Artery,-3,4
Artery,-4,3
Artery,-5,3
Artery,-6,2
Artery,-7,4
Artery,-8,1
Artery,-9,2
Artery,-10,7
Artery,-11,6
Artery,-12,3
Arthritis,-1,6
Arthritis,-2,9
Arthritis,-3,6
Arthritis,-4,4
Arthritis,-5,3
Arthritis,-6,5
Arthritis,-7,7
Arthritis,-8,5
Arthritis,-9,2
Arthritis,-10,6
Arthritis,-11,5
Arthritis,-12,6
Arthropathy,-10,1
Arthroscopy,-6,1
Artificial Insemination,-2,1
Asbestosis,-1,1
Aspiration,-1,1
Aspiration,-2,1
Aspiration,-8,1
Aspiration,-10,1
Aspiration,-11,1
Aspirin,-1,2
Aspirin,-2,4
Aspirin,-3,2
Aspirin,-4,4
Aspirin,-7,5
Aspirin,-8,4
Aspirin,-9,3
Aspirin,-10,5
Aspirin,-11,4
Aspirin,-12,4
Asthma,-1,4
Asthma,-2,3
Asthma,-3,4
Asthma,-4,3
Asthma,-5,2
Asthma,-6,7
Asthma,-7,4
Asthma,-8,5
Asthma,-9,7
Asthma,-10,8
Asthma,-11,13
Asthma,-12,6
Asthma Attack,-3,1
Asthma Attack,-6,1
Asthma Attack,-8,1
Asthma Attack,-9,1
Asthma Attack,-12,1
Astigmatism,-5,1
Astigmatism,-7,1
Astigmatism,-10,1
Ataxia,-10,1
Atherosclerosis,-10,1
Athlete's Foot,-6,1
Athlete's Foot,-8,1
Athlete's Foot,-10,1
Athlete's Foot,-12,1
Atopic Dermatitis,-1,2
Atopic Dermatitis,-2,1
Atopic Dermatitis,-4,2
Atopic Dermatitis,-5,1
Atopic Dermatitis,-8,3
Atopic Dermatitis,-12,3
Atrial Fibrillation,-4,1
Atrial Fibrillation,-5,1
Atrial Fibrillation,-10,1
Atrial Fibrillation,-11,1
Atrial Flutter,-3,1
Atrial Flutter,-6,1
Atrophic Vaginitis,-2,1
Atrophy,-7,1
Atrophy,-8,1
Atrophy,-11,2
Attention Deficit Hyperactivity Disorder,-1,1
Attention Deficit Hyperactivity Disorder,-2,4
Attention Deficit Hyperactivity Disorder,-3,1
Attention Deficit Hyperactivity Disorder,-4,1
Attention Deficit Hyperactivity Disorder,-5,1
Attention Deficit Hyperactivity Disorder,-6,1
Attention Deficit Hyperactivity Disorder,-7,5
Attention Deficit Hyperactivity Disorder,-8,4
Attention Deficit Hyperactivity Disorder,-9,3
Attention Deficit Hyperactivity Disorder,-12,3
Auscultation,-11,1
Autism,-1,1
Autism,-3,1
Autism,-4,1
Autism,-5,2
Autism,-6,1
Autism,-7,1
Autism,-8,1
Autism,-9,2
Autism,-10,2
Autism,-11,1
Autoimmune Disease,-1,1
Autoimmune Disease,-4,2
Autoimmune Disease,-8,1
Autoimmune Disease,-10,1
Autoimmune Disease,-11,1
Autoimmune Disorder,-10,1
Autoimmune Disorder,-11,1
Autoimmune Hepatitis,-3,2
Autoimmune Hepatitis,-7,2
B12,-1,1
B12,-2,2
B12,-3,1
B12,-5,1
B12,-6,2
B12,-7,1
B12,-8,1
B12,-9,1
B12,-10,4
B12,-11,1
B12,-12,1
Baby,-1,29
Baby,-2,44
Baby,-3,35
Baby,-4,17
Baby,-5,23
Baby,-6,22
Baby,-7,34
Baby,-8,34
Baby,-9,43
Baby,-10,51
Baby,-11,42
Baby,-12,46
Baby Bottle Tooth Decay,-8,1
Bacitracin,-11,1
Back Pain,-1,11
Back Pain,-2,14
Back Pain,-3,13
Back Pain,-4,13
Back Pain,-5,12
Back Pain,-6,10
Back Pain,-7,14
Back Pain,-8,15
Back Pain,-9,9
Back Pain,-10,27
Back Pain,-11,18
Back Pain,-12,10
Bacterial Meningitis,-9,1
Bacterial Pneumonia,-10,1
Bacterial Pneumonia,-11,1
Bacterial Sexually Transmitted Disease,-5,1
Bacterial Vaginosis,-1,1
Bacterial Vaginosis,-4,2
Bacterial Vaginosis,-5,6
Bacterial Vaginosis,-6,1
Bacterial Vaginosis,-7,1
Bacterial Vaginosis,-8,3
Bacterial Vaginosis,-9,3
Bacterial Vaginosis,-10,5
Bacterial Vaginosis,-11,2
Bacterial Vaginosis,-12,2
Bacterium,-1,5
Bacterium,-2,5
Bacterium,-3,6
Bacterium,-4,6
Bacterium,-5,7
Bacterium,-6,6
Bacterium,-7,6
Bacterium,-8,6
Bacterium,-9,8
Bacterium,-10,17
Bacterium,-11,11
Bacterium,-12,12
Bad Breath,-1,1
Bad Breath,-7,1
Bad Breath,-8,1
Bad Breath,-9,1
Bad Breath,-11,1
Balanitis,-2,1
Balanitis,-6,1
Balanitis,-7,3
Balanitis,-8,1
Baldness,-2,1
Baldness,-3,1
Baldness,-4,1
Baldness,-10,1
Baldness,-12,2
Barium Swallow,-2,1
Bartholin Cyst,-3,2
Bartholin Cyst,-11,1
Bartholin Cyst,-12,2
Basal Body Temperature,-5,1
Bed Sore,-4,1
Bedbug,-5,1
Bedbug,-8,2
Bedbug,-10,3
Bedbug,-11,1
Bedbug,-12,2
Bee Pollen,-2,1
Bee Sting,-8,3
Bee Sting,-12,1
Belch,-7,1
Belch,-9,1
Bell's Palsy,-3,1
Bell's Palsy,-4,1
Bell's Palsy,-7,1
Bell's Palsy,-11,1
Bell's Palsy,-12,1
Belly Button,-1,4
Belly Button,-2,5
Belly Button,-3,8
Belly Button,-4,2
Belly Button,-5,2
Belly Button,-6,1
Belly Button,-7,2
Belly Button,-8,3
Belly Button,-9,2
Belly Button,-10,5
Belly Button,-11,7
Belly Button,-12,8
Benign,-2,1
Benign,-3,1
Benign,-4,1
Benign,-6,2
Benign,-7,1
Benign,-8,3
Benign,-9,1
Benign,-10,4
Benign,-11,1
Benign,-12,4
Benign Paroxysmal Positional Vertigo,-6,1
Benign Prostatic Hyperplasia,-1,1
Benign Prostatic Hyperplasia,-5,1
Benign Prostatic Hyperplasia,-9,2
Benign Prostatic Hyperplasia,-10,1
Benign Prostatic Hyperplasia,-12,2
Benzoyl Peroxide,-10,1
Beta Blocker,-2,2
Beta Blocker,-3,2
Beta Blocker,-4,2
Beta Blocker,-5,1
Beta Blocker,-8,1
Beta Blocker,-9,1
Beta Blocker,-10,2
Beta Blocker,-11,1
Beta Blocker,-12,1
Beta Carotene,-10,1
Beta Carotene,-12,1
Beta Thalassemia,-12,1
Beverages,-3,1
Beverages,-7,2
Beverages,-10,1
Bi-Pap,-5,1
Bicep,-1,3
Bicep,-2,2
Bicep,-3,1
Bicep,-4,1
Bicep,-5,1
Bicep,-8,2
Bicep,-10,1
Big Toe,-1,3
Big Toe,-2,7
Big Toe,-3,3
Big Toe,-4,1
Big Toe,-6,1
Big Toe,-7,4
Big Toe,-8,1
Big Toe,-9,4
Big Toe,-10,10
Big Toe,-11,4
Big Toe,-12,4
Binge Drinking,-6,1
Biofeedback,-6,1
Bioidentical Hormone,-5,1
Bioidentical Hormone,-8,1
Bioidentical Hormone,-12,1
Biopsy,-1,3
Biopsy,-2,3
Biopsy,-3,4
Biopsy,-4,4
Biopsy,-5,6
Biopsy,-6,1
Biopsy,-7,3
Biopsy,-8,3
Biopsy,-9,4
Biopsy,-10,8
Biopsy,-11,6
Biopsy,-12,1
Bipolar Disorder,-1,3
Bipolar Disorder,-2,3
Bipolar Disorder,-3,8
Bipolar Disorder,-4,1
Bipolar Disorder,-5,3
Bipolar Disorder,-6,2
Bipolar Disorder,-7,5
Bipolar Disorder,-8,3
Bipolar Disorder,-9,3
Bipolar Disorder,-10,4
Bipolar Disorder,-11,1
Bipolar Disorder,-12,7
Birth,-1,5
Birth,-2,4
Birth,-3,4
Birth,-4,7
Birth,-5,2
Birth,-6,3
Birth,-7,6
Birth,-8,1
Birth,-9,7
Birth,-10,12
Birth,-11,9
Birth,-12,10
Birth Control,-1,24
Birth Control,-2,23
Birth Control,-3,20
Birth Control,-4,23
Birth Control,-5,28
Birth Control,-6,22
Birth Control,-7,17
Birth Control,-8,37
Birth Control,-9,30
Birth Control,-10,63
Birth Control,-11,33
Birth Control,-12,32
Birth Control Pill,-1,9
Birth Control Pill,-2,11
Birth Control Pill,-3,3
Birth Control Pill,-4,7
Birth Control Pill,-5,5
Birth Control Pill,-6,11
Birth Control Pill,-7,5
Birth Control Pill,-8,10
Birth Control Pill,-9,13
Birth Control Pill,-10,25
Birth Control Pill,-11,13
Birth Control Pill,-12,10
Birth Defect,-1,1
Birthmark,-3,2
Birthmark,-9,1
Black Eye,-6,1
Black Eye,-8,1
Black Eye,-11,1
Bladder,-1,7
Bladder,-2,5
Bladder,-3,7
Bladder,-4,6
Bladder,-5,12
Bladder,-6,4
Bladder,-7,9
Bladder,-8,9
Bladder,-9,3
Bladder,-10,9
Bladder,-11,10
Bladder,-12,12
Bladder Cancer,-3,1
Bladder Cancer,-7,1
Bladder Cancer,-10,1
Bladder Cancer,-11,1
Bladder Repair,-9,1
Bladder Spasm,-9,1
Bladder Stone,-7,1
Bladder Stone,-10,1
Blepharitis,-11,1
Blind Loop Syndrome,-9,1
Blindness,-2,3
Blindness,-4,1
Blindness,-7,1
Blindness,-10,1
Blindness,-11,3
Blindness,-12,1
Blinking,-1,1
Blinking,-2,1
Blinking,-3,3
Blinking,-4,1
Blinking,-6,1
Blinking,-9,1
Blinking,-12,2
Blister,-1,9
Blister,-2,5
Blister,-3,8
Blister,-4,9
Blister,-5,6
Blister,-6,11
Blister,-7,14
Blister,-8,7
Blister,-9,12
Blister,-10,17
Blister,-11,21
Blister,-12,14
Bloating,-1,7
Bloating,-2,12
Bloating,-3,7
Bloating,-4,3
Bloating,-5,7
Bloating,-6,12
Bloating,-7,10
Bloating,-8,1
Bloating,-9,6
Bloating,-10,14
Bloating,-11,8
Bloating,-12,12
Blood Clot,-1,8
Blood Clot,-2,4
Blood Clot,-3,2
Blood Clot,-5,5
Blood Clot,-6,2
Blood Clot,-7,5
Blood Clot,-8,6
Blood Clot,-9,7
Blood Clot,-10,11
Blood Clot,-11,12
Blood Clot,-12,4
Blood Disorder,-5,1
Blood Donation,-2,1
Blood Donation,-4,2
Blood Donation,-8,1
Blood Donation,-9,2
Blood Donation,-10,1
Blood Donation,-11,3
Blood Donation,-12,1
Blood In Urine,-10,1
Blood Loss,-1,2
Blood Loss,-7,2
Blood Loss,-10,1
Blood Loss,-11,1
Blood Loss,-12,1
Blood Pressure,-1,17
Blood Pressure,-2,17
Blood Pressure,-3,17
Blood Pressure,-4,8
Blood Pressure,-5,12
Blood Pressure,-6,11
Blood Pressure,-7,17
Blood Pressure,-8,10
Blood Pressure,-9,8
Blood Pressure,-10,33
Blood Pressure,-11,27
Blood Pressure,-12,22
Blood Sugar,-1,8
Blood Sugar,-2,9
Blood Sugar,-3,7
Blood Sugar,-4,4
Blood Sugar,-5,6
Blood Sugar,-6,4
Blood Sugar,-7,4
Blood Sugar,-8,4
Blood Sugar,-9,5
Blood Sugar,-10,12
Blood Sugar,-11,14
Blood Sugar,-12,13
Blood Test,-1,15
Blood Test,-2,10
Blood Test,-3,16
Blood Test,-4,11
Blood Test,-5,13
Blood Test,-6,8
Blood Test,-7,7
Blood Test,-8,15
Blood Test,-9,9
Blood Test,-10,28
Blood Test,-11,22
Blood Test,-12,17
Blood Thinner,-1,1
Blood Thinner,-2,1
Blood Thinner,-3,1
Blood Thinner,-4,2
Blood Thinner,-5,4
Blood Thinner,-7,6
Blood Thinner,-8,1
Blood Thinner,-9,2
Blood Thinner,-10,3
Blood Thinner,-11,4
Blood Thinner,-12,3
Bloodshot Eye,-6,1
Bloodshot Eye,-7,3
Bmp Blood Test,-2,1
Body Building,-2,1
Body Mass Index,-8,1
Body Mass Index,-11,1
Boil,-1,4
Boil,-2,2
Boil,-3,5
Boil,-4,1
Boil,-5,3
Boil,-6,9
Boil,-7,5
Boil,-8,2
Boil,-9,3
Boil,-10,10
Boil,-11,10
Boil,-12,4
Bone Cancer,-3,1
Bone Cancer,-6,1
Bone Cancer,-8,1
Bone Density Test,-4,1
Bone Marrow,-7,1
Bone Marrow,-8,1
Bone Marrow,-12,2
Bone Spurs,-2,2
Bone Spurs,-3,3
Bone Spurs,-6,2
Bone Spurs,-8,1
Bone Spurs,-9,2
Bone Spurs,-11,1
Bone Spurs,-12,1
Borderline Personality Disorder,-2,2
Borderline Personality Disorder,-3,1
Borderline Personality Disorder,-10,1
Borderline Personality Disorder,-11,2
Bow Leg,-7,2
Bowel Incontinence,-1,1
Bowel Movement,-1,5
Bowel Movement,-2,8
Bowel Movement,-3,10
Bowel Movement,-4,5
Bowel Movement,-5,8
Bowel Movement,-6,7
Bowel Movement,-7,12
Bowel Movement,-8,15
Bowel Movement,-9,11
Bowel Movement,-10,23
Bowel Movement,-11,16
Bowel Movement,-12,13
Bradycardia,-2,1
Bradycardia,-8,1
Brain,-1,7
Brain,-2,9
Brain,-3,4
Brain,-4,7
Brain,-5,6
Brain,-6,2
Brain,-7,12
Brain,-8,8
Brain,-9,8
Brain,-10,18
Brain,-11,14
Brain,-12,11
Brain Aneurysm,-1,2
Brain Aneurysm,-8,2
Brain Cancer,-4,2
Brain Hemorrhage,-1,1
Brain Hemorrhage,-8,1
Brain Tumor,-4,1
Brain Tumor,-7,1
Brain Tumor,-10,2
Brain Tumor,-11,1
Breast,-1,37
Breast,-2,22
Breast,-3,21
Breast,-4,26
Breast,-5,17
Breast,-6,24
Breast,-7,34
Breast,-8,23
Breast,-9,21
Breast,-10,53
Breast,-11,39
Breast,-12,39
Breast Augmentation,-2,1
Breast Augmentation,-6,1
Breast Augmentation,-11,1
Breast Augmentation,-12,3
Breast Biopsy,-6,1
Breast Biopsy,-7,1
Breast Biopsy,-9,1
Breast Biopsy,-12,1
Breast Cancer,-1,1
Breast Cancer,-2,5
Breast Cancer,-3,3
Breast Cancer,-4,5
Breast Cancer,-5,2
Breast Cancer,-6,11
Breast Cancer,-7,1
Breast Cancer,-8,3
Breast Cancer,-10,5
Breast Cancer,-11,5
Breast Cancer,-12,3
Breast Enlargement,-1,1
Breast Enlargement,-5,1
Breast Enlargement,-10,1
Breast Fibroadenoma,-10,1
Breast Pump,-12,1
Breastfeed,-1,1
Breastfeed,-2,4
Breastfeed,-3,1
Breastfeed,-4,2
Breastfeed,-5,1
Breastfeed,-6,4
Breastfeed,-7,4
Breastfeed,-8,2
Breastfeed,-9,6
Breastfeed,-10,8
Breastfeed,-11,5
Breastfeed,-12,3
Broken Arm,-10,1
Broken Arm,-11,1
Broken Bone,-1,1
Broken Bone,-3,2
Broken Bone,-10,3
Broken Bone,-12,1
Broken Finger,-10,1
Broken Foot,-12,1
Broken Leg,-3,1
Broken Shoulder,-3,1
Broken Shoulder,-10,1
Broken Toe,-7,1
Broken Toe,-8,1
Broken Toe,-10,1
Broken Tooth,-8,1
Broken Tooth,-10,1
Bronchiolitis,-12,1
Bronchitis,-1,6
Bronchitis,-2,4
Bronchitis,-3,2
Bronchitis,-4,1
Bronchitis,-5,2
Bronchitis,-7,1
Bronchitis,-8,2
Bronchitis,-9,4
Bronchitis,-10,4
Bronchitis,-11,9
Bronchitis,-12,10
Brown Rice,-11,1
Bruise,-1,9
Bruise,-2,7
Bruise,-3,13
Bruise,-4,10
Bruise,-5,14
Bruise,-6,11
Bruise,-7,20
Bruise,-8,10
Bruise,-9,12
Bruise,-10,19
Bruise,-11,16
Bruise,-12,12
Bulging Disc,-4,1
Bulging Disc,-10,1
Bulging Disc,-11,1
Bulimia Nervosa,-10,1
Bulimia Nervosa,-12,1
Bundle Nerve Branch Block,-2,1
Bunion,-4,1
Bunion,-5,1
Bunion,-6,1
Bunion,-7,1
Bunion,-9,1
Bunion,-12,1
Burn,-1,29
Burn,-2,24
Burn,-3,31
Burn,-4,24
Burn,-5,22
Burn,-6,18
Burn,-7,28
Burn,-8,17
Burn,-9,9
Burn,-10,32
Burn,-11,26
Burn,-12,31
Bursitis,-3,1
Bursitis,-5,1
Bursitis,-6,1
Bursitis,-8,2
Bursitis,-9,2
Bursitis,-10,1
Bursitis,-12,3
Buttocks,-1,2
Buttocks,-2,3
Buttocks,-3,3
Buttocks,-4,2
Buttocks,-5,3
Buttocks,-6,4
Buttocks,-7,2
Buttocks,-8,2
Buttocks,-9,3
Buttocks,-10,4
Buttocks,-11,5
Buttocks,-12,4
CAT Scan,-1,3
CAT Scan,-2,4
CAT Scan,-3,4
CAT Scan,-5,1
CAT Scan,-6,3
CAT Scan,-7,1
CAT Scan,-8,1
CAT Scan,-9,1
CAT Scan,-10,2
CAT Scan,-11,1
CAT Scan,-12,8
CK,-9,1
CPAP,-1,1
CPAP,-5,1
CPAP,-10,1
Caffeine,-1,3
Caffeine,-2,1
Caffeine,-4,4
Caffeine,-5,1
Caffeine,-6,5
Caffeine,-7,4
Caffeine,-8,5
Caffeine,-9,1
Caffeine,-10,4
Caffeine,-11,4
Caffeine,-12,1
Calamine,-3,1
Calamine,-5,1
Calamine,-7,1
Calcium,-1,2
Calcium,-2,2
Calcium,-3,3
Calcium,-4,2
Calcium,-5,3
Calcium,-6,3
Calcium,-7,2
Calcium,-8,4
Calcium,-9,2
Calcium,-10,5
Calcium,-11,2
Calcium,-12,4
Calcium Channel Blocker,-11,1
Calf,-1,5
Calf,-2,6
Calf,-3,3
Calf,-4,2
Calf,-5,1
Calf,-6,4
Calf,-7,4
Calf,-8,2
Calf,-9,3
Calf,-10,6
Calf,-11,3
Calf,-12,1
California,-7,1
California,-8,1
Callus,-5,1
